연번,위치주소(지번 비공개),조사년도,빈집유형,주택유형,철거 또는 활용동의,관리부서,데이터기준일자,위도,경도,좌표정확도
181,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2951687081627,127.034081235602,정확(리 단위)
182,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2951687081627,127.034081235602,정확(리 단위)
183,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2951687081627,127.034081235602,정확(리 단위)
184,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2951687081627,127.034081235602,정확(리 단위)
185,전라남도 담양군 무정면 봉안리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.2951687081627,127.034081235602,정확(리 단위)
186,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,동의,도시과,2023-05-15,35.3021746546978,127.010502323443,정확(리 단위)
187,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3021746546978,127.010502323443,정확(리 단위)
188,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3021746546978,127.010502323443,정확(리 단위)
189,전라남도 담양군 무정면 오룡리,2022,철거형,단독주택,미동의,도시과,2023-05-15,35.3021746546978,127.010502323443,정확(리 단위)
190,전라남도 담양군 무정면 오룡리,2022,활용형,단독주택,미동의,도시과,2023-05-15,35.3021746546978,127.010502323443,정확(리 단위)
